('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         998852 function calls (974113 primitive calls) in 7.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      345    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    44/32    0.000    0.000    0.007    0.000 css_parser.py:579(parse_pseudo_class)
       56    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      195    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      271    0.000    0.000    0.206    0.001 response.py:1231(stream)
        1    0.000    0.000    0.042    0.042 css_parser.py:1(<module>)
    31/15    0.000    0.000    0.136    0.009 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.153    0.153 __init__.py:211(__init__)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      362    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      288    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:2316(__init__)
      271    0.000    0.000    0.206    0.001 models.py:816(generate)
        2    0.000    0.000    0.000    0.000 cookiejar.py:467(parse_ns_headers)
      258    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    5.180    5.180 financial.py:7(find)
        1    0.000    0.000    0.111    0.111 element.py:1(<module>)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      346    0.000    0.000    0.000    0.000 socket.py:744(readable)
      178    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       70    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
    81/55    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       44    0.000    0.000    0.200    0.005 response.py:1346(_handle_chunk)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.010    0.010 url.py:1(<module>)
      371    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
        7    0.000    0.000    0.001    0.000 typing.py:2979(_make_nmtuple)
      403    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        2    0.000    0.000    0.000    0.000 inspect.py:2383(_signature_from_function)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        3    0.000    0.000    0.023    0.008 response.py:1(<module>)
        2    0.000    0.000    0.009    0.005 models.py:1(<module>)
