('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         892107 function calls (870847 primitive calls) in 1.729 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.201    0.004 client.py:635(_safe_read)
       45    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       44    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
    44/32    0.000    0.000    0.007    0.000 css_parser.py:579(parse_pseudo_class)
       43    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       43    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       42    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       42    0.000    0.000    0.001    0.000 typing.py:753(Union)
       41    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       40    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
    40/31    0.000    0.000    0.007    0.000 css_parser.py:746(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       38    0.000    0.000    0.000    0.000 enum.py:799(<genexpr>)
    38/31    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       37    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       36    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
       36    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:2316(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1904(_split_scope_id)
       35    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
       35    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
    31/30    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       29    0.000    0.000    0.000    0.000 element.py:2368(get_attribute_list)
       29    0.000    0.000    0.000    0.000 __init__.py:680(<genexpr>)
       29    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       29    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       28    0.000    0.000    0.000    0.000 message.py:517(set_raw)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       26    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       24    0.000    0.000    0.000    0.000 typing.py:2696(overload)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       24    0.000    0.000    0.000    0.000 client.py:567(_get_chunk_left)
       24    0.000    0.000    0.000    0.000 client.py:537(_read_next_chunk_size)
       24    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       21    0.000    0.000    0.000    0.000 enum.py:1439(_iter_member_by_value_)
       21    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       21    0.000    0.000    0.001    0.000 typing.py:806(Optional)
       21    0.000    0.000    0.000    0.000 typing.py:553(__repr__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
     20/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
     20/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       18    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
       18    0.000    0.000    0.000    0.000 enum.py:498(__new__)
       18    0.000    0.000    0.000    0.000 _deprecation.py:51(_deprecated_function_alias)
       18    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
